TRC  SO   3.03
TRC  SCB  3.49
TRC  SOG  3.07
TRC  TH   0.00
TRC  TN   3.25
TRC  TCA  3.49
TRC  TC   3.22
TRC  TO   3.03
TRC  TCB  3.49
TRC  TCG  3.49
TRC  TOG  3.07
TRC  VH   0.00
TRC  VN   3.25
TRC  VCA  3.49
TRC  VC   3.22
TRC  VO   3.03
TRC  VCB  3.49
TRC  VCG1 3.49
TRC  WH   0.00
TRC  WN   3.25
TRC  WCA  3.49
TRC  WC   3.22
TRC  WO   3.03
TRC  WCB  3.49
TRC  WCG  3.22
TRC  WCD1 3.37
TRC  WCD2 3.22
TRC  WCE2 3.22
TRC  WCE3 3.37
TRC  WNE  3.25
TRC  WHE  0.00
TRC  WCZ2 3.37
TRC  WCZ3 3.37
TRC  WCH2 3.37
TRC  YH   0.00
TRC  YN   3.25
TRC  YCA  3.49
TRC  YC   3.22
TRC  YO   3.03
TRC  YCB  3.49
TRC  YCG  3.22
TRC  YCD  3.37
TRC  YCE  3.37
TRC  YCZ  3.22
TRC  YOH  3.07
TRO  TRO  3.05
TRO  AH   0.00
TRO  AN   2.76
TRO  ACA  3.30
TRO  AC   3.03
TRO  AO   3.05
TRO  ACB  3.30
TRO  CH   0.00
TRO  CN   2.76
TRO  CCA  3.30
TRO  CC   3.03
TRO  CO   3.05
TRO  CCB  3.30
TRO  CSG  3.19
TRO  DH   0.00
TRO  DN   2.76
TRO  DCA  3.30
TRO  DC   3.03
TRO  DO   3.05
TRO  DCB  3.30
TRO  DCG  3.03
TRO  DOD  3.05
TRO  EH   0.00
TRO  EN   2.76
TRO  ECA  3.30
TRO  EC   3.03
TRO  EO   3.05
TRO  ECB  3.30
TRO  ECG  3.30
TRO  ECD  3.03
TRO  EOE  3.05
TRO  FH   0.00
TRO  FN   2.76
TRO  FCA  3.30
TRO  FC   3.03
TRO  FO   3.05
TRO  FCB  3.30
TRO  FCG  3.03
TRO  FCD  3.18
TRO  FCE  3.18
TRO  FCZ  3.18
TRO  GH   0.00
TRO  GN   2.76
TRO  GCA  3.30
TRO  GC   3.03
TRO  GO   3.05
TRO  HH   0.00
TRO  HN   2.76
TRO  HCA  3.30
TRO  HC   3.03
TRO  HO   3.05
TRO  HCB  3.30
TRO  HCG  3.03
TRO  HCD  3.18
TRO  HND  2.76
TRO  HHD  0.00
TRO  HCE  3.18
TRO  HNE  2.76
TRO  IH   0.00
TRO  IN   2.76
TRO  ICA  3.30
TRO  IC   3.03
TRO  IO   3.05
TRO  ICB  3.30
TRO  ICG1 3.30
TRO  ICG2 3.30
TRO  ICD  3.30
TRO  KH   0.00
TRO  KN   2.76
TRO  KCA  3.30
TRO  KC   3.03
TRO  KO   3.05
TRO  KCB  3.30
TRO  KCG  3.30
TRO  KCD  3.30
TRO  KCE  3.30
TRO  KNZ  2.60
TRO  LH   0.00
TRO  LN   2.76
TRO  LCA  3.30
TRO  LC   3.03
TRO  LO   3.05
TRO  LCB  3.30
TRO  LCG  3.30
TRO  LCD1 3.30
TRO  MH   0.00
TRO  MN   2.76
TRO  MCA  3.30
TRO  MC   3.03
TRO  MO   3.05
TRO  MCB  3.30
TRO  MCG  3.30
TRO  MSD  3.19
TRO  MCE  3.30
TRO  NH   0.00
TRO  NN   2.76
TRO  NCA  3.30
TRO  NC   3.03
TRO  NO   3.05
TRO  NCB  3.30
TRO  NCG  3.03
TRO  NOD  3.05
TRO  NND  2.82
TRO  NHD1 0.00
TRO  NHD2 0.00
TRO  PN   3.06
TRO  PCA  3.30
TRO  PC   3.03
TRO  PO   3.05
TRO  PCB  3.30
TRO  PCG  3.30
TRO  PCD  3.30
TRO  QH   0.00
TRO  QN   2.76
TRO  QCA  3.30
TRO  QC   3.03
TRO  QO   3.05
TRO  QCB  3.30
TRO  QCG  3.30
TRO  QCD  3.03
TRO  QOE  3.05
TRO  QNE  2.82
TRO  QHE1 0.00
TRO  QHE2 0.00
TRO  RH   0.00
TRO  RN   2.76
TRO  RCA  3.30
TRO  RC   3.03
TRO  RO   3.05
TRO  RCB  3.30
TRO  RCG  3.30
TRO  RCD  3.30
TRO  RNE  2.76
TRO  RCZ  3.03
TRO  RNH  2.60
TRO  SH   0.00
TRO  SN   2.76
TRO  SCA  3.30
TRO  SC   3.03
TRO  SO   3.05
TRO  SCB  3.30
TRO  SOG  2.60
TRO  TH   0.00
TRO  TN   2.76
TRO  TCA  3.30
TRO  TC   3.03
TRO  TO   3.05
