 DCB  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 DCG  0.000000000000000 0.005161681493098 -0.020646725972393 -0.216319391586928 1.001665789835129 4.000000000000000 -0.004096148497103 0.041293451944787 -0.133732487697355 0.136388223487418 8.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 12.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 16.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 20.000000000000000 -0.031250000000000 0.187500000000000 0.000000000000000 0.000000000000000 24.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 1.000000000000000 10000.000000000000000
 DOD  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 EH   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 EN   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 ECA  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 EC   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 EO   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 ECB  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 ECG  0.000000000000000 0.014734806258478 -0.058939225033913 -0.235756900135651 0.943027600542606 4.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 8.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 12.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 16.000000000000000 -0.031250000000000 0.187500000000000 0.000000000000000 0.000000000000000 20.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 1.000000000000000 10000.000000000000000
 ECD  0.000000000000000 0.010398821611856 -0.041595286447426 -0.166381145789702 0.665524583158810 4.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 8.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 12.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 16.000000000000000 -0.031250000000000 0.187500000000000 0.000000000000000 0.000000000000000 20.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 1.000000000000000 10000.000000000000000
 EOE  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 FH   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 FN   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 FCA  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 FC   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 FO   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 FCB  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
