DO   0.000000000000000 -0.144568812528616 0.650559656378772 0.0000000000 0.000000000000000 3.000000000000000 -0.016408615039047 0.066501961731064 0.0000000000 1.951678969136315 5.000000000000000 0.015374403798131 -0.031949728503218 0.0691044665 2.086417895748195 7.000000000000000 -0.016027740334008 0.060296694285570 0.1257983980 2.219823145031756 9.000000000000000 0.005932249822016 -0.035869747718479 0.1746522912 2.584384795542760 11.000000000000000 0.008339448590843 -0.000276248786380 0.1023602981 2.837668385554131 13.000000000000000 -0.005877704614846 0.049760442758676 0.2013286861 3.107999575425072 15.000000000000000 -0.003063210401307 0.014494215069599 0.3298380017 3.662677081719912 17.000000000000000 0.000821836936936 -0.003885047338243 0.3510563372 4.355824262279858 19.000000000000000 -0.000224137346437 0.001045974283373 0.3453781911 5.048971442839803 21.000000000000000 0.000074712448812 -0.000298849795249 0.3468724401 5.742118623399748 23.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.435265803959694 10000.000000000000000
DCB  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
DCG  0.000000000000000 -0.002374664263056 0.007123992789168 -0.0577038105 0.455441127182917 3.000000000000000 0.007560572622221 -0.014247985578336 -0.0790757889 0.282329695713189 5.000000000000000 -0.009638521644866 0.031115450154993 -0.0453408597 0.127670756662791 7.000000000000000 0.011950336473278 -0.026715679714204 -0.0365413188 0.084342664715635 9.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
DOD  0.000000000000000 -0.114031973611158 0.513143881250210 0.0000000000 0.000000000000000 3.000000000000000 0.000657145222655 0.010592721802003 0.0000000000 1.539431643750630 5.000000000000000 0.010767048651483 0.014535593137934 0.0502566299 1.587059692739884 7.000000000000000 -0.019703212945408 0.079137885046833 0.2376035862 1.831851714263237 9.000000000000000 0.008771871141806 -0.039081392625614 0.3177165711 2.465984723386128 11.000000000000000 0.000532318125442 0.013549834225223 0.2666534543 3.015267264201817 13.000000000000000 -0.003538626093263 0.016743742977878 0.3272406087 3.607032054688382 15.000000000000000 0.000949387488436 -0.004488013581699 0.3517520675 4.300179235248326 17.000000000000000 -0.000258923860483 0.001208311348919 0.3451926630 4.993326415808271 19.000000000000000 0.000086307953494 -0.000345231813977 0.3469188221 5.686473596368217 21.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.379620776928162 10000.000000000000000
EH   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
EN   0.000000000000000 -0.124388907464267 0.559750083589204 0.0000000000 0.000000000000000 3.000000000000000 0.008365899313088 0.005363599410240 0.0000000000 1.679250250767611 5.000000000000000 -0.013060504622767 0.055558995288769 0.1218451894 1.767631842913274 7.000000000000000 0.026223401718329 -0.022804032447833 0.1873551151 2.129074165882246 9.000000000000000 -0.040032718870937 0.134536377862144 0.4108198059 2.622355479997327 11.000000000000000 0.022330192525271 -0.105659935363478 0.4685726909 3.661878852295430 13.000000000000000 -0.005991027262878 0.028321219788149 0.3138952598 4.355026032855376 15.000000000000000 0.001633916526239 -0.007624943789117 0.3552878118 5.048173213415321 17.000000000000000 -0.000544638842080 0.002178555368319 0.3443950349 5.741320393975267 19.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.434467574535211 10000.000000000000000
ECA  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
EC   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
EO   0.000000000000000 -0.132803571251360 0.597616070631122 0.0000000000 0.000000000000000 3.000000000000000 -0.015905793019022 0.055401694089272 0.0000000000 1.792848211893365 5.000000000000000 0.024571336037656 -0.040033064024858 0.0307372601 1.887208644098279 7.000000000000000 -0.031279776702645 0.107394952201079 0.1654610365 1.985121596557752 9.000000000000000 0.013906451945034 -0.080283708014792 0.2196835249 2.495385264703447 11.000000000000000 0.010734281068374 0.003155003655413 0.0654261161 2.724869097912240 13.000000000000000 -0.011017366352213 0.067560690065657 0.2068575036 2.954215593351058 15.000000000000000 -0.000307815309524 0.001456491952382 0.3448918676 3.550034429950441 17.000000000000000 0.000082584595238 -0.000390399904762 0.3470240517 4.243181610510386 19.000000000000000 -0.000022523071429 0.000105107666667 0.3464534672 4.936328791070332 21.000000000000000 0.000007507690476 -0.000030030761905 0.3466036210 5.629475971630277 23.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.322623152190222 10000.000000000000000
ECB  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
